NR;NR_X;TIME;SEX;AgeGroup;COUNTRY_HDI
147;;2022;T;Y15-64;PK
148;;2023;T;Y15-64;PK
149;;2021;M;TOTAL;PK
153;;2021;T;Y15-64;PK
156;;2022;T;TOTAL;PK
156;;2023;T;TOTAL;PK
159;;2024;F;TOTAL;TOTAL_HDI_L
163;;2024;M;Y15-64;PK
163;;2021;T;TOTAL;PK
170;;2024;M;TOTAL;PK
174;;2024;T;Y15-64;AF
188;;2024;T;Y15-64;PK
192;;2023;T;TOTAL;AF
198;;2024;T;TOTAL;PK
241;;2024;T;TOTAL;AF
259;;2022;M;Y15-64;TOTAL_HDI_L
264;;2021;M;Y15-64;TOTAL_HDI_L
276;;2022;M;TOTAL;TOTAL_HDI_L
277;;2021;M;TOTAL;TOTAL_HDI_L
302;;2021;T;Y15-64;TOTAL_HDI_L
304;;2022;T;Y15-64;TOTAL_HDI_L
314;;2023;M;Y15-64;TOTAL_HDI_L
324;;2021;T;TOTAL;TOTAL_HDI_L
331;;2022;T;TOTAL;TOTAL_HDI_L
357;;2023;M;TOTAL;TOTAL_HDI_L
393;;2024;M;Y15-64;TOTAL_HDI_L
406;;2023;T;Y15-64;TOTAL_HDI_L
442;;2024;M;TOTAL;TOTAL_HDI_L
480;;2023;T;TOTAL;TOTAL_HDI_L
518;;2024;T;Y15-64;TOTAL_HDI_L
601;;2024;T;TOTAL;TOTAL_HDI_L
;;;;;
